user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_018238265_1_ASM1823826v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	98.32	0.787	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	98.32	0.787	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018238205.1, s__MP8T-1 sp018238205, 95.0, 93.03, 0.634; GCA_030612005.1, s__MP8T-1 sp030612005, 95.0, 89.74, 0.443	88.4	11	N/A	N/A
GCA_018238285_1_ASM1823828v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238205	GCA_018238205.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238205	99.11	0.81	GCA_018238205.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238205	99.11	0.81	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018238825.1, s__MP8T-1 sp018238825, 95.0, 92.97, 0.47; GCA_030612005.1, s__MP8T-1 sp030612005, 95.0, 90.58, 0.429	86.14	11	N/A	N/A
GCA_018238305_1_ASM1823830v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.91	0.864	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.91	0.864	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 92.02, 0.574; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 90.91, 0.539; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 90.82, 0.469; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 90.8, 0.509; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 90.71, 0.562; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 89.39, 0.467	90.0	11	N/A	N/A
GCA_018238315_1_ASM1823831v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	GCA_018238965.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	99.54	0.713	GCA_018238965.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	99.54	0.713	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	62.78	11	N/A	N/A
GCA_018238345_1_ASM1823834v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.97	0.895	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.97	0.895	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.74, 0.558; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 90.87, 0.532; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 90.86, 0.49; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 90.76, 0.576; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 90.69, 0.445; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.51, 0.462	79.51	11	N/A	N/A
GCA_018238365_1_ASM1823836v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	98.07	0.77	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	98.07	0.77	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018238205.1, s__MP8T-1 sp018238205, 95.0, 94.2, 0.696; GCA_030612005.1, s__MP8T-1 sp030612005, 95.0, 91.17, 0.463	57.24	11	N/A	N/A
GCA_018238375_1_ASM1823837v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	100.0	0.999	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	100.0	0.999	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019057475.1, s__WTCK01 sp019057475, 95.0, 91.2, 0.649; GCA_023134215.1, s__WTCK01 sp023134215, 95.0, 90.59, 0.644; GCA_030669595.1, s__WTCK01 sp030669595, 95.0, 90.4, 0.609; GCA_030612365.1, s__WTCK01 sp030612365, 95.0, 89.86, 0.58; GCA_013138615.1, s__WTCK01 sp013138615, 95.0, 89.28, 0.452; GCA_030642465.1, s__WTCK01 sp030642465, 95.0, 88.32, 0.385	88.53	11	N/A	N/A
GCA_018238405_1_ASM1823840v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	GCA_018238965.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	99.63	0.76	GCA_018238965.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	99.63	0.76	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	51.98	11	N/A	N/A
GCA_018238425_1_ASM1823842v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.99	0.72	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	98.99	0.72	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 91.52, 0.326; GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.48, 0.363; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 91.32, 0.354; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 91.16, 0.386; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 91.06, 0.293; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.7, 0.289	51.24	11	N/A	N/A
GCA_018238445_1_ASM1823844v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.63	0.953	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.63	0.953	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019057475.1, s__WTCK01 sp019057475, 95.0, 90.79, 0.637; GCA_030612365.1, s__WTCK01 sp030612365, 95.0, 90.58, 0.701; GCA_023134215.1, s__WTCK01 sp023134215, 95.0, 90.51, 0.684; GCA_030669595.1, s__WTCK01 sp030669595, 95.0, 90.47, 0.698; GCA_013138615.1, s__WTCK01 sp013138615, 95.0, 89.74, 0.541; GCA_030642465.1, s__WTCK01 sp030642465, 95.0, 88.68, 0.452	88.54	11	N/A	N/A
GCA_018238455_1_ASM1823845v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_030613185.1, s__Prometheoarchaeum sp030613185, 95.0, 85.8, 0.217; GCA_030612265.1, s__Prometheoarchaeum sp030612265, 95.0, 85.47, 0.179	45.62	11	0.96438	N/A
GCA_018238465_1_ASM1823846v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.63	0.905	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.63	0.905	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019057475.1, s__WTCK01 sp019057475, 95.0, 92.88, 0.678; GCA_030669595.1, s__WTCK01 sp030669595, 95.0, 91.82, 0.541; GCA_030612365.1, s__WTCK01 sp030612365, 95.0, 91.73, 0.545; GCA_013138615.1, s__WTCK01 sp013138615, 95.0, 90.66, 0.268; GCA_030642465.1, s__WTCK01 sp030642465, 95.0, 90.5, 0.293; GCA_023134215.1, s__WTCK01 sp023134215, 95.0, 88.89, 0.262	53.05	11	N/A	N/A
GCA_018238505_1_ASM1823850v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	GCA_030613185.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__Prometheoarchaeum sp030613185	85.9	0.274	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_030611625.1, s__Prometheoarchaeum sp030611625, 95.0, 85.16, 0.178; GCA_030612265.1, s__Prometheoarchaeum sp030612265, 95.0, 84.47, 0.207; GCF_008000775.2, s__Prometheoarchaeum syntrophicum, 95.0, 82.6, 0.166	61.15	11	0.97659	Genome has more than 13.2% of markers with multiple hits
GCA_018238525_1_ASM1823852v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.66	0.882	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.66	0.882	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019057475.1, s__WTCK01 sp019057475, 95.0, 91.2, 0.643; GCA_023134215.1, s__WTCK01 sp023134215, 95.0, 90.44, 0.595; GCA_030669595.1, s__WTCK01 sp030669595, 95.0, 90.13, 0.573; GCA_030612365.1, s__WTCK01 sp030612365, 95.0, 89.86, 0.55; GCA_013138615.1, s__WTCK01 sp013138615, 95.0, 89.11, 0.421; GCA_030642465.1, s__WTCK01 sp030642465, 95.0, 87.95, 0.364	85.36	11	N/A	N/A
GCA_018238545_1_ASM1823854v1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	100.0	0.999	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	100.0	0.999	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 88.88, 0.46; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 87.65, 0.519; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 86.98, 0.459; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 85.3, 0.266	95.41	11	N/A	N/A
GCA_018238565_1_ASM1823856v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	99.35	0.82	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	99.35	0.82	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.58, 0.363; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 91.45, 0.389; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 91.43, 0.308; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 91.15, 0.401; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 91.11, 0.443; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.67, 0.289	60.58	11	N/A	N/A
GCA_018238575_1_ASM1823857v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.48	0.869	GCA_018238375.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__WTCK01 sp018238375	99.48	0.869	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019057475.1, s__WTCK01 sp019057475, 95.0, 91.2, 0.639; GCA_023134215.1, s__WTCK01 sp023134215, 95.0, 90.66, 0.561; GCA_030669595.1, s__WTCK01 sp030669595, 95.0, 90.49, 0.539; GCA_030612365.1, s__WTCK01 sp030612365, 95.0, 89.92, 0.53; GCA_013138615.1, s__WTCK01 sp013138615, 95.0, 88.94, 0.375; GCA_030642465.1, s__WTCK01 sp030642465, 95.0, 87.75, 0.319	73.57	11	N/A	N/A
GCA_018238585_1_ASM1823858v1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	99.62	0.926	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	99.62	0.926	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 88.53, 0.424; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 87.56, 0.434; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 87.25, 0.459; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 84.85, 0.277	92.9	11	N/A	N/A
GCA_018238625_1_ASM1823862v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	100.0	1.0	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	100.0	1.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.79, 0.613; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 91.04, 0.53; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 90.87, 0.57; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.58, 0.5; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 90.25, 0.541; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 90.01, 0.519	89.61	11	N/A	N/A
GCA_018238645_1_ASM1823864v1	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	99.76	0.929	GCA_018238545.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp018238545	99.76	0.929	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 88.39, 0.396; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 87.61, 0.418; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 87.41, 0.444; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 85.39, 0.245	92.67	11	N/A	N/A
GCA_018238665_1_ASM1823866v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	97.9	0.731	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	97.9	0.731	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018238205.1, s__MP8T-1 sp018238205, 95.0, 93.53, 0.598; GCA_030612005.1, s__MP8T-1 sp030612005, 95.0, 90.26, 0.43	73.74	11	N/A	N/A
GCA_018238685_1_ASM1823868v1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	99.79	0.881	GCA_018238825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp018238825	99.79	0.881	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018238205.1, s__MP8T-1 sp018238205, 95.0, 93.28, 0.6; GCA_030612005.1, s__MP8T-1 sp030612005, 95.0, 90.52, 0.396	69.02	11	N/A	N/A
GCA_018238705_1_ASM1823870v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	97.7	0.761	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	97.7	0.761	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 95.19, 0.581; GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.63, 0.474; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 91.5, 0.451; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 91.34, 0.536; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.76, 0.428; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 90.64, 0.462	68.99	11	N/A	N/A
GCA_018238725_1_ASM1823872v1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	99.57	0.897	GCA_018238625.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	99.57	0.897	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030612905.1, s__SOKP01 sp030612905, 95.0, 91.67, 0.611; GCA_030606095.1, s__SOKP01 sp030606095, 95.0, 91.12, 0.528; GCA_029856105.1, s__SOKP01 sp029856105, 95.0, 90.8, 0.571; GCA_005222975.1, s__SOKP01 sp005222975, 95.0, 90.57, 0.551; GCA_030615145.1, s__SOKP01 sp030615145, 95.0, 90.31, 0.494; GCA_019057795.1, s__SOKP01 sp019057795, 95.0, 90.01, 0.539	71.69	11	N/A	N/A
